CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 2.093750 1683795917.3599
MEM 28.269531 1683795917.4665
MEM 34.218750 1683795917.5698
MEM 34.218750 1683795917.6704
MEM 34.218750 1683795917.7709
MEM 34.218750 1683795917.8715
MEM 34.218750 1683795917.9720
MEM 34.218750 1683795918.0727
MEM 34.218750 1683795918.1740
MEM 34.218750 1683795918.2741
MEM 34.218750 1683795918.3749
MEM 34.218750 1683795918.4752
MEM 34.218750 1683795918.5757
MEM 35.863281 1683795918.6760
MEM 51.664062 1683795918.7762
MEM 61.187500 1683795918.8765
MEM 62.031250 1683795918.9771
MEM 62.039062 1683795919.0778
MEM 62.089844 1683795919.1788
MEM 62.093750 1683795919.2797
MEM 62.105469 1683795919.3801
MEM 62.105469 1683795919.4807
MEM 62.105469 1683795919.5811
MEM 62.105469 1683795919.6813
MEM 62.113281 1683795919.7818
MEM 62.113281 1683795919.8826
MEM 62.113281 1683795919.9829
MEM 62.113281 1683795920.0836
MEM 62.113281 1683795920.1844
MEM 61.527344 1683795920.2848
MEM 61.535156 1683795920.3854
MEM 62.191406 1683795920.4859
MEM 62.195312 1683795920.5863
MEM 62.195312 1683795920.6868
MEM 62.195312 1683795920.7872
MEM 62.195312 1683795920.8878
MEM 62.195312 1683795920.9880
MEM 62.214844 1683795921.0884
MEM 63.226562 1683795921.1890
MEM 63.230469 1683795921.2895
MEM 63.230469 1683795921.3900
MEM 63.230469 1683795921.4914
MEM 63.230469 1683795921.5916
MEM 63.234375 1683795921.6922
MEM 63.246094 1683795921.7930
MEM 63.667969 1683795921.8935
MEM 63.667969 1683795921.9937
MEM 63.667969 1683795922.0941
MEM 63.667969 1683795922.1946
MEM 63.667969 1683795922.2950
MEM 63.472656 1683795922.3955
MEM 63.472656 1683795922.4963
MEM 63.472656 1683795922.5970
MEM 63.472656 1683795922.6976
MEM 63.472656 1683795922.7981
MEM 63.472656 1683795922.8985
MEM 63.472656 1683795922.9993
MEM 63.472656 1683795923.1000
MEM 63.472656 1683795923.2009
MEM 63.472656 1683795923.3015
MEM 63.472656 1683795923.4020
MEM 63.472656 1683795923.5028
MEM 62.824219 1683795923.6032
MEM 62.824219 1683795923.7045
MEM 62.824219 1683795923.8050
MEM 62.828125 1683795923.9058
MEM 62.828125 1683795924.0066
MEM 61.632812 1683795924.1068
MEM 61.632812 1683795924.2074
MEM 61.632812 1683795924.3077
MEM 65.734375 1683795924.4083
