CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.660156 1683796355.3188
MEM 27.859375 1683796355.4220
MEM 34.167969 1683796355.5221
MEM 34.167969 1683796355.6229
MEM 34.167969 1683796355.7232
MEM 34.167969 1683796355.8238
MEM 34.167969 1683796355.9243
MEM 34.167969 1683796356.0252
MEM 34.167969 1683796356.1264
MEM 34.167969 1683796356.2271
MEM 34.167969 1683796356.3276
MEM 34.167969 1683796356.4280
MEM 34.167969 1683796356.5285
MEM 34.167969 1683796356.6292
MEM 34.171875 1683796356.7297
MEM 41.140625 1683796356.8300
MEM 55.730469 1683796356.9302
MEM 62.015625 1683796357.0310
MEM 62.015625 1683796357.1318
MEM 62.023438 1683796357.2336
MEM 62.050781 1683796357.3341
MEM 62.097656 1683796357.4345
MEM 62.097656 1683796357.5352
MEM 62.097656 1683796357.6358
MEM 62.097656 1683796357.7368
MEM 62.097656 1683796357.8374
MEM 62.105469 1683796357.9380
MEM 62.105469 1683796358.0390
MEM 62.105469 1683796358.1398
MEM 62.105469 1683796358.2402
MEM 62.105469 1683796358.3409
MEM 62.105469 1683796358.4414
MEM 62.105469 1683796358.5423
MEM 62.121094 1683796358.6427
MEM 62.121094 1683796358.7432
MEM 63.164062 1683796358.8440
MEM 63.167969 1683796358.9445
MEM 63.167969 1683796359.0452
MEM 63.167969 1683796359.1455
MEM 63.167969 1683796359.2459
MEM 63.167969 1683796359.3462
MEM 63.171875 1683796359.4467
MEM 63.179688 1683796359.5471
MEM 63.601562 1683796359.6479
MEM 63.601562 1683796359.7484
MEM 63.601562 1683796359.8492
MEM 63.601562 1683796359.9506
MEM 63.601562 1683796360.0513
MEM 64.015625 1683796360.1521
MEM 64.019531 1683796360.2529
MEM 64.019531 1683796360.3536
MEM 64.019531 1683796360.4541
MEM 64.019531 1683796360.5548
MEM 64.019531 1683796360.6553
MEM 63.582031 1683796360.7558
MEM 63.582031 1683796360.8564
MEM 63.582031 1683796360.9573
MEM 61.867188 1683796361.0578
MEM 61.867188 1683796361.1581
MEM 61.867188 1683796361.2589
MEM 64.410156 1683796361.3595
MEM 64.410156 1683796361.4602
MEM 64.410156 1683796361.5611
MEM 64.410156 1683796361.6622
MEM 64.410156 1683796361.7628
MEM 64.410156 1683796361.8636
MEM 64.410156 1683796361.9643
MEM 64.410156 1683796362.0648
MEM 64.421875 1683796362.1654
MEM 64.421875 1683796362.2658
MEM 64.421875 1683796362.3666
MEM 64.421875 1683796362.4672
MEM 64.421875 1683796362.5677
MEM 64.421875 1683796362.6681
MEM 64.421875 1683796362.7686
MEM 64.421875 1683796362.8691
MEM 64.421875 1683796362.9696
MEM 64.421875 1683796363.0700
MEM 64.953125 1683796363.1703
MEM 64.964844 1683796363.2710
MEM 64.968750 1683796363.3714
MEM 64.968750 1683796363.4719
MEM 64.968750 1683796363.5726
MEM 64.968750 1683796363.6728
MEM 64.968750 1683796363.7735
MEM 64.968750 1683796363.8737
MEM 64.968750 1683796363.9744
MEM 64.968750 1683796364.0747
MEM 64.968750 1683796364.1750
MEM 64.968750 1683796364.2756
MEM 64.968750 1683796364.3760
MEM 64.968750 1683796364.4767
MEM 64.968750 1683796364.5818
MEM 64.968750 1683796364.6823
MEM 64.968750 1683796364.7827
MEM 64.968750 1683796364.8828
MEM 64.972656 1683796364.9832
MEM 64.972656 1683796365.0836
MEM 64.972656 1683796365.1838
MEM 64.972656 1683796365.2839
MEM 64.972656 1683796365.3843
MEM 64.972656 1683796365.4849
MEM 64.972656 1683796365.5855
MEM 64.976562 1683796365.6858
MEM 64.976562 1683796365.7862
MEM 64.976562 1683796365.8869
MEM 64.976562 1683796365.9875
MEM 64.976562 1683796366.0881
MEM 64.980469 1683796366.1884
MEM 64.984375 1683796366.2887
MEM 64.984375 1683796366.3892
MEM 64.984375 1683796366.4898
MEM 64.984375 1683796366.5903
MEM 64.984375 1683796366.6905
MEM 64.988281 1683796366.7911
MEM 64.988281 1683796366.8917
MEM 64.988281 1683796366.9922
MEM 64.988281 1683796367.0929
MEM 64.988281 1683796367.1934
MEM 64.988281 1683796367.2938
MEM 64.988281 1683796367.3941
MEM 64.988281 1683796367.4943
MEM 64.992188 1683796367.5947
MEM 64.992188 1683796367.6954
MEM 64.992188 1683796367.7960
MEM 64.992188 1683796367.8967
MEM 64.992188 1683796367.9969
MEM 64.992188 1683796368.0974
MEM 64.992188 1683796368.1979
MEM 64.996094 1683796368.2982
MEM 64.996094 1683796368.3987
MEM 64.996094 1683796368.4993
MEM 64.996094 1683796368.5998
MEM 64.996094 1683796368.7002
MEM 64.996094 1683796368.8005
MEM 65.000000 1683796368.9010
MEM 65.000000 1683796369.0014
MEM 65.000000 1683796369.1019
MEM 65.000000 1683796369.2023
MEM 65.000000 1683796369.3025
MEM 65.000000 1683796369.4032
MEM 65.000000 1683796369.5038
MEM 65.000000 1683796369.6045
MEM 65.000000 1683796369.7048
MEM 65.000000 1683796369.8129
MEM 65.000000 1683796369.9133
MEM 65.000000 1683796370.0146
MEM 65.003906 1683796370.1150
MEM 65.003906 1683796370.2153
MEM 65.003906 1683796370.3154
MEM 65.003906 1683796370.4161
MEM 65.007812 1683796370.5172
MEM 65.007812 1683796370.6174
MEM 65.007812 1683796370.7179
MEM 65.007812 1683796370.8188
MEM 65.007812 1683796370.9192
MEM 65.007812 1683796371.0199
MEM 65.007812 1683796371.1202
MEM 65.011719 1683796371.2245
MEM 65.011719 1683796371.3247
MEM 65.011719 1683796371.4252
MEM 65.011719 1683796371.5257
MEM 65.011719 1683796371.6261
MEM 65.011719 1683796371.7265
MEM 65.011719 1683796371.8269
MEM 65.015625 1683796371.9275
MEM 65.015625 1683796372.0279
MEM 65.015625 1683796372.1284
MEM 65.015625 1683796372.2285
MEM 65.015625 1683796372.3292
MEM 65.015625 1683796372.4297
MEM 65.015625 1683796372.5302
MEM 65.019531 1683796372.6309
MEM 65.019531 1683796372.7313
MEM 65.019531 1683796372.8316
MEM 65.019531 1683796372.9320
MEM 65.019531 1683796373.0323
MEM 65.019531 1683796373.1328
MEM 65.019531 1683796373.2334
MEM 65.019531 1683796373.3340
MEM 65.019531 1683796373.4345
MEM 65.019531 1683796373.5352
MEM 65.019531 1683796373.6360
MEM 65.019531 1683796373.7366
MEM 65.019531 1683796373.8373
MEM 65.019531 1683796373.9379
MEM 65.019531 1683796374.0384
MEM 65.019531 1683796374.1392
MEM 65.019531 1683796374.2400
MEM 65.019531 1683796374.3406
MEM 65.019531 1683796374.4410
MEM 65.019531 1683796374.5418
MEM 65.019531 1683796374.6421
MEM 65.019531 1683796374.7430
MEM 65.019531 1683796374.8436
MEM 65.019531 1683796374.9439
MEM 65.019531 1683796375.0443
MEM 65.019531 1683796375.1447
MEM 65.019531 1683796375.2453
MEM 65.019531 1683796375.3457
MEM 65.019531 1683796375.4465
MEM 65.019531 1683796375.5483
MEM 65.019531 1683796375.6488
MEM 65.019531 1683796375.7495
MEM 65.019531 1683796375.8502
MEM 65.019531 1683796375.9540
