CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.644531 1683795048.5725
MEM 27.042969 1683795048.6813
MEM 34.125000 1683795048.7818
MEM 34.125000 1683795048.8826
MEM 34.125000 1683795048.9831
MEM 34.125000 1683795049.0838
MEM 34.125000 1683795049.1846
MEM 34.128906 1683795049.2856
MEM 34.128906 1683795049.3861
MEM 34.128906 1683795049.4865
MEM 34.128906 1683795049.5868
MEM 34.128906 1683795049.6873
MEM 34.128906 1683795049.7878
MEM 34.128906 1683795049.8883
MEM 34.128906 1683795049.9890
MEM 34.960938 1683795050.0894
MEM 48.542969 1683795050.1900
MEM 60.625000 1683795050.2906
MEM 61.761719 1683795050.3912
MEM 61.851562 1683795050.4922
MEM 61.855469 1683795050.5926
MEM 61.855469 1683795050.6941
MEM 61.867188 1683795050.7946
MEM 61.867188 1683795050.8952
MEM 61.867188 1683795050.9961
MEM 61.867188 1683795051.0970
MEM 61.867188 1683795051.1978
MEM 61.875000 1683795051.2987
MEM 61.875000 1683795051.3995
MEM 61.875000 1683795051.5000
MEM 61.875000 1683795051.6006
MEM 61.894531 1683795051.7012
MEM 61.898438 1683795051.8023
MEM 61.898438 1683795051.9030
MEM 61.898438 1683795052.0042
MEM 61.898438 1683795052.1050
MEM 61.898438 1683795052.2058
MEM 61.898438 1683795052.3073
MEM 61.898438 1683795052.4078
MEM 61.898438 1683795052.5082
MEM 61.898438 1683795052.6087
MEM 61.898438 1683795052.7094
MEM 61.910156 1683795052.8103
MEM 61.910156 1683795052.9122
MEM 61.910156 1683795053.0125
MEM 61.910156 1683795053.1133
MEM 61.910156 1683795053.2138
MEM 61.910156 1683795053.3145
MEM 61.910156 1683795053.4153
MEM 61.910156 1683795053.5158
MEM 61.937500 1683795053.6166
MEM 61.937500 1683795053.7173
MEM 61.937500 1683795053.8184
MEM 61.917969 1683795053.9189
MEM 61.917969 1683795054.0192
MEM 61.917969 1683795054.1247
MEM 61.917969 1683795054.2254
MEM 61.332031 1683795054.3259
MEM 62.214844 1683795054.4261
MEM 62.808594 1683795054.5266
MEM 62.808594 1683795054.6272
MEM 62.828125 1683795054.7275
MEM 62.828125 1683795054.8280
MEM 62.828125 1683795054.9285
MEM 62.808594 1683795055.0290
MEM 62.808594 1683795055.1304
MEM 62.808594 1683795055.2313
MEM 62.808594 1683795055.3319
MEM 62.613281 1683795055.4327
MEM 62.625000 1683795055.5331
MEM 62.937500 1683795055.6338
MEM 62.937500 1683795055.7345
MEM 62.937500 1683795055.8352
MEM 62.937500 1683795055.9358
MEM 62.937500 1683795056.0363
MEM 62.937500 1683795056.1378
MEM 62.937500 1683795056.2413
MEM 62.937500 1683795056.3419
MEM 62.937500 1683795056.4424
MEM 63.136719 1683795056.5431
MEM 63.136719 1683795056.6435
MEM 63.136719 1683795056.7441
MEM 63.136719 1683795056.8445
MEM 63.136719 1683795056.9453
MEM 63.136719 1683795057.0457
MEM 63.136719 1683795057.1462
MEM 63.136719 1683795057.2466
MEM 63.136719 1683795057.3473
MEM 63.136719 1683795057.4479
MEM 62.941406 1683795057.5483
MEM 62.941406 1683795057.6490
MEM 62.941406 1683795057.7496
MEM 62.941406 1683795057.8505
MEM 62.941406 1683795057.9511
MEM 62.941406 1683795058.0516
