CMDLINE C:\Users\pribu\AppData\Local\Programs\Python\Python311\python.exe main.py
MEM 1.679688 1683796271.2192
MEM 27.054688 1683796271.3218
MEM 34.289062 1683796271.4225
MEM 34.289062 1683796271.5229
MEM 34.289062 1683796271.6236
MEM 34.289062 1683796271.7240
MEM 34.289062 1683796271.8244
MEM 34.289062 1683796271.9249
MEM 34.289062 1683796272.0257
MEM 34.289062 1683796272.1270
MEM 34.289062 1683796272.2275
MEM 34.289062 1683796272.3329
MEM 34.292969 1683796272.4337
MEM 47.988281 1683796272.5341
MEM 59.847656 1683796272.6346
MEM 62.222656 1683796272.7350
MEM 62.277344 1683796272.8358
MEM 62.347656 1683796272.9363
MEM 62.347656 1683796273.0370
MEM 62.359375 1683796273.1378
MEM 62.359375 1683796273.2386
MEM 62.359375 1683796273.3393
MEM 62.359375 1683796273.4401
MEM 62.363281 1683796273.5406
MEM 62.371094 1683796273.6412
MEM 62.382812 1683796273.7416
MEM 62.382812 1683796273.8420
MEM 62.441406 1683796273.9436
MEM 62.441406 1683796274.0441
MEM 62.441406 1683796274.1447
MEM 62.441406 1683796274.2452
MEM 62.441406 1683796274.3460
MEM 62.460938 1683796274.4464
MEM 63.496094 1683796274.5468
MEM 63.500000 1683796274.6474
MEM 63.500000 1683796274.7482
MEM 63.500000 1683796274.8485
MEM 63.500000 1683796274.9492
MEM 63.500000 1683796275.0498
MEM 63.500000 1683796275.1508
MEM 63.503906 1683796275.2514
MEM 63.503906 1683796275.3523
MEM 63.507812 1683796275.4528
MEM 63.765625 1683796275.5537
MEM 63.859375 1683796275.6589
MEM 63.664062 1683796275.7593
MEM 63.664062 1683796275.8599
MEM 63.664062 1683796275.9602
MEM 64.078125 1683796276.0610
MEM 64.078125 1683796276.1616
MEM 64.078125 1683796276.2622
MEM 64.078125 1683796276.3627
MEM 64.078125 1683796276.4634
MEM 64.078125 1683796276.5638
MEM 64.031250 1683796276.6643
MEM 64.031250 1683796276.7649
MEM 63.382812 1683796276.8655
MEM 63.382812 1683796276.9666
MEM 63.382812 1683796277.0674
MEM 63.382812 1683796277.1679
MEM 62.156250 1683796277.2682
MEM 62.156250 1683796277.3685
MEM 62.156250 1683796277.4691
MEM 64.378906 1683796277.5699
MEM 64.378906 1683796277.6707
MEM 64.378906 1683796277.7715
MEM 64.378906 1683796277.8720
MEM 64.378906 1683796277.9727
MEM 64.378906 1683796278.0733
MEM 64.378906 1683796278.1741
MEM 64.390625 1683796278.2745
MEM 64.390625 1683796278.3751
MEM 64.390625 1683796278.4756
MEM 64.390625 1683796278.5761
MEM 64.406250 1683796278.6768
MEM 64.406250 1683796278.7775
MEM 64.406250 1683796278.8782
MEM 64.406250 1683796278.9784
MEM 64.406250 1683796279.0791
MEM 64.406250 1683796279.1798
MEM 64.406250 1683796279.2805
MEM 64.406250 1683796279.3810
MEM 64.406250 1683796279.4817
MEM 64.949219 1683796279.5823
MEM 64.960938 1683796279.6830
MEM 64.960938 1683796279.7834
MEM 64.960938 1683796279.8840
MEM 64.960938 1683796279.9841
MEM 64.960938 1683796280.0849
MEM 64.960938 1683796280.1853
MEM 64.960938 1683796280.2858
MEM 64.960938 1683796280.3861
MEM 64.960938 1683796280.4864
MEM 64.960938 1683796280.5867
MEM 64.960938 1683796280.6869
MEM 64.960938 1683796280.7875
MEM 64.960938 1683796280.8879
MEM 64.960938 1683796280.9885
MEM 64.960938 1683796281.0888
MEM 64.960938 1683796281.1892
MEM 64.960938 1683796281.2896
MEM 64.960938 1683796281.3902
MEM 64.960938 1683796281.4907
MEM 64.964844 1683796281.5912
MEM 64.964844 1683796281.6914
MEM 64.964844 1683796281.7921
MEM 64.964844 1683796281.8924
MEM 64.968750 1683796281.9926
MEM 64.968750 1683796282.0929
MEM 64.968750 1683796282.1934
MEM 64.968750 1683796282.2939
MEM 64.968750 1683796282.3943
MEM 64.968750 1683796282.4945
MEM 64.976562 1683796282.5947
MEM 64.976562 1683796282.6951
MEM 64.976562 1683796282.7955
MEM 64.976562 1683796282.8958
MEM 64.976562 1683796282.9961
MEM 64.976562 1683796283.0965
MEM 64.980469 1683796283.1969
MEM 64.980469 1683796283.2973
MEM 64.980469 1683796283.3978
MEM 64.980469 1683796283.4982
MEM 64.980469 1683796283.5988
MEM 64.980469 1683796283.6995
MEM 64.980469 1683796283.7999
MEM 64.980469 1683796283.9002
MEM 64.984375 1683796284.0004
MEM 64.984375 1683796284.1011
MEM 64.984375 1683796284.2015
MEM 64.984375 1683796284.3019
MEM 64.984375 1683796284.4021
MEM 64.984375 1683796284.5025
MEM 64.988281 1683796284.6029
MEM 64.988281 1683796284.7031
MEM 64.988281 1683796284.8038
MEM 64.988281 1683796284.9039
MEM 64.988281 1683796285.0046
MEM 64.988281 1683796285.1054
MEM 64.988281 1683796285.2056
MEM 64.992188 1683796285.3058
MEM 64.992188 1683796285.4061
MEM 64.992188 1683796285.5063
MEM 64.992188 1683796285.6067
MEM 64.992188 1683796285.7069
MEM 64.992188 1683796285.8074
MEM 64.992188 1683796285.9079
MEM 64.992188 1683796286.0083
MEM 64.992188 1683796286.1085
MEM 64.992188 1683796286.2091
MEM 64.992188 1683796286.3096
MEM 64.992188 1683796286.4098
MEM 64.992188 1683796286.5105
MEM 64.992188 1683796286.6111
MEM 64.996094 1683796286.7114
MEM 64.996094 1683796286.8117
MEM 65.000000 1683796286.9121
MEM 65.000000 1683796287.0125
MEM 65.000000 1683796287.1129
MEM 65.000000 1683796287.2132
MEM 65.000000 1683796287.3135
MEM 65.000000 1683796287.4146
MEM 65.000000 1683796287.5151
MEM 65.003906 1683796287.6153
MEM 65.003906 1683796287.7159
MEM 65.003906 1683796287.8165
MEM 65.003906 1683796287.9170
MEM 65.003906 1683796288.0174
MEM 65.003906 1683796288.1179
MEM 65.003906 1683796288.2185
MEM 65.007812 1683796288.3191
MEM 65.007812 1683796288.4197
MEM 65.007812 1683796288.5201
MEM 65.007812 1683796288.6205
MEM 65.007812 1683796288.7207
MEM 65.007812 1683796288.8209
MEM 65.007812 1683796288.9211
MEM 65.011719 1683796289.0213
MEM 65.011719 1683796289.1217
MEM 65.011719 1683796289.2221
MEM 65.011719 1683796289.3224
MEM 65.011719 1683796289.4228
MEM 65.011719 1683796289.5234
MEM 65.011719 1683796289.6241
MEM 65.011719 1683796289.7249
MEM 65.011719 1683796289.8256
MEM 65.011719 1683796289.9261
MEM 65.011719 1683796290.0268
MEM 65.011719 1683796290.1274
MEM 65.011719 1683796290.2283
MEM 65.011719 1683796290.3286
MEM 65.011719 1683796290.4290
MEM 65.011719 1683796290.5298
MEM 65.011719 1683796290.6308
MEM 65.011719 1683796290.7317
MEM 65.011719 1683796290.8321
MEM 65.011719 1683796290.9326
MEM 65.011719 1683796291.0330
MEM 65.011719 1683796291.1338
MEM 65.011719 1683796291.2344
MEM 65.011719 1683796291.3352
MEM 65.011719 1683796291.4361
MEM 65.011719 1683796291.5366
MEM 65.011719 1683796291.6373
MEM 65.011719 1683796291.7379
MEM 65.011719 1683796291.8390
MEM 65.011719 1683796291.9397
MEM 65.011719 1683796292.0403
MEM 65.011719 1683796292.1410
MEM 65.011719 1683796292.2415
MEM 65.011719 1683796292.3431
MEM 65.011719 1683796292.4437
MEM 65.011719 1683796292.5444
MEM 65.011719 1683796292.6452
MEM 65.011719 1683796292.7457
MEM 65.011719 1683796292.8466
MEM 65.011719 1683796292.9470
MEM 65.011719 1683796293.0474
MEM 65.011719 1683796293.1478
MEM 65.011719 1683796293.2482
MEM 65.011719 1683796293.3488
MEM 65.011719 1683796293.4492
MEM 65.011719 1683796293.5498
MEM 65.011719 1683796293.6502
MEM 65.011719 1683796293.7511
MEM 65.011719 1683796293.8537
MEM 65.011719 1683796293.9543
MEM 65.011719 1683796294.0552
MEM 65.011719 1683796294.1559
MEM 65.011719 1683796294.2566
